sec,TRW-S,lowerBound,
91.318,304504,178116.5,
91.627,304504,178155.0,
91.920,305610,178193.3,
92.213,311247,178231.3,
92.492,311247,178269.2,
92.784,312326,178306.8,
93.064,309694,178344.3,
93.349,309842,178381.4,
93.622,309842,178418.3,
93.916,309841,178455.1,
94.195,309640,178491.7,
94.475,309640,178528.2,
94.749,309570,178564.5,
95.034,308384,178600.6,
95.320,308488,178636.4,
95.614,310432,178671.8,
95.909,310448,178706.8,
96.187,310448,178741.5,
96.486,310089,178776.0,
96.808,310089,178810.2,
97.122,310151,178844.4,
97.434,310639,178878.3,
97.706,310639,178912.2,
97.981,310639,178946.0,
98.285,314204,178979.5,
98.614,314493,179012.9,
98.916,308035,179046.2,
99.226,309085,179079.2,
99.509,308768,179112.1,
99.795,308766,179144.8,
100.088,308766,179177.3,
100.385,304004,179209.6,
100.704,304004,179241.7,
101.005,305092,179273.6,
101.300,303638,179305.3,
101.592,301430,179336.8,
101.879,297946,179368.2,
102.172,1501948,179399.3,
102.472,1501940,179430.4,
102.769,1501474,179461.2,
103.067,1501474,179491.7,
103.363,1501260,179521.9,
103.654,1501133,179551.7,
103.944,1476685,179581.3,
104.260,1476806,179610.7,
104.550,1476806,179640.0,
104.851,1476806,179669.2,
105.127,1476806,179698.1,
105.399,1476806,179727.0,
105.707,1476806,179755.6,
105.991,1476863,179784.2,
106.280,1476863,179812.5,
106.570,1476196,179840.6,
106.847,1476239,179868.7,
107.131,1476239,179896.1,
107.412,1474335,179923.4,
107.681,1474619,179950.6,
107.972,1473360,179977.7,
108.263,1475736,180004.7,
108.552,1474613,180031.7,
108.845,1472432,180058.6,
109.126,1472614,180085.5,
109.412,1472427,180112.4,
109.692,1472333,180139.1,
109.974,1472333,180165.7,
110.259,1472316,180192.2,
110.550,1472573,180218.6,
110.840,1473078,180244.9,
111.118,1470199,180271.1,
111.434,1470576,180296.5,
111.742,1470576,180321.2,
112.036,1470170,180345.8,
112.344,1470249,180370.3,
112.638,1470314,180394.7,
112.908,1470351,180419.0,
113.189,1470451,180443.2,
113.465,1469939,180467.4,
113.754,1469893,180491.4,
114.024,1473428,180515.4,
114.322,1473266,180539.4,
114.616,1473266,180563.2,
114.888,1473262,180587.0,
115.164,1473658,180610.5,
115.437,1473658,180633.9,
115.710,1473658,180657.1,
115.989,1473658,180680.2,
116.279,1458935,180703.3,
116.561,1456089,180726.1,
116.834,1456089,180748.7,
117.101,1454945,180771.2,
117.381,1454633,180793.5,
117.666,1454398,180815.6,
117.944,1454398,180837.6,
118.233,1454530,180859.5,
118.513,1454530,180881.3,
118.793,1454530,180902.9,
119.066,1454800,180924.3,
119.343,1455104,180945.7,
119.622,1455104,180967.0,
119.902,1455104,180988.3,
120.183,1455104,181009.6,
120.496,1455104,181030.8,
120.795,1455104,181051.9,
121.083,1454487,181072.7,
121.389,1454487,181093.2,
121.698,1454487,181113.6,
122.003,1454487,181133.8,
122.303,1454487,181153.8,
122.595,1454487,181173.3,
122.887,1454372,181192.7,
123.177,1454372,181211.8,
123.465,1454372,181230.8,
123.761,1454372,181249.8,
124.094,1454372,181268.7,
124.397,1454372,181287.5,
124.705,1454372,181306.1,
124.998,1454372,181324.7,
125.280,1456784,181343.0,
125.565,1456784,181361.3,
125.860,1456760,181379.4,
126.144,1456760,181397.4,
126.435,1456760,181415.4,
126.723,1454868,181433.3,
127.000,1454868,181451.1,
127.284,1454641,181468.9,
127.558,1454641,181486.5,
127.837,1454745,181504.0,
128.105,1454745,181521.4,
128.389,1454666,181538.7,
128.663,1454489,181555.9,
128.954,1454489,181573.1,
129.225,1454391,181590.2,
129.495,1454626,181607.2,
129.791,1454626,181624.0,
130.072,1454626,181640.8,
130.349,1454626,181657.5,
130.637,1454626,181674.1,
130.932,1454626,181690.7,
131.208,1455400,181707.2,
131.499,1455032,181723.6,
131.759,1455032,181740.0,
132.025,1455032,181756.1,
132.313,1455032,181771.6,
132.599,1455032,181787.0,
132.894,1455032,181802.4,
133.175,1455032,181817.7,
133.439,1453979,181833.1,
133.723,1453979,181848.4,
134.003,1453979,181863.7,
134.276,1453979,181878.9,
134.566,1453979,181894.2,
134.840,1453979,181909.4,
135.107,1453979,181924.5,
135.398,1453979,181939.6,
135.679,1453862,181954.7,
135.949,1453862,181969.8,
136.233,1453862,181984.8,
136.502,1453862,181999.8,
136.782,1453862,182014.7,
137.053,1453924,182029.5,
137.346,1453924,182044.2,
137.631,1454843,182058.8,
137.908,1454843,182073.4,
138.191,1455196,182087.9,
138.471,1455196,182102.4,
138.738,1455196,182116.8,
139.024,1455196,182131.2,
139.314,1455196,182145.5,
139.598,1455196,182159.7,
139.899,2355455,182174.0,
140.213,2355493,182188.2,
140.509,2355493,182202.4,
140.795,2355493,182216.4,
141.071,2355493,182230.3,
141.347,2355493,182244.2,
141.625,2355493,182257.9,
141.895,2355493,182271.6,
142.173,2355493,182285.2,
142.454,2356121,182298.7,
142.747,2356121,182312.1,
143.020,2356121,182325.5,
143.303,2355497,182338.8,
143.569,2355484,182352.1,
143.845,2355484,182365.3,
144.136,2355484,182378.4,
144.408,2355484,182391.5,
144.686,2355484,182404.4,
144.965,2355484,182417.3,
145.264,2355560,182430.2,
145.540,2355560,182443.0,
145.823,2356184,182455.7,
146.104,2354685,182468.5,
146.380,2354504,182481.1,
146.669,2354504,182493.6,
146.948,2354504,182506.1,
147.225,2354504,182518.5,
147.502,2354504,182530.9,
147.782,2354504,182543.2,
148.048,2354504,182555.5,
148.327,2354504,182567.6,
148.624,2354312,182579.6,
148.910,2354312,182591.6,
149.188,2355041,182603.5,
149.474,2355567,182615.4,
149.751,2355567,182627.2,
150.023,2354583,182639.0,
150.303,2353048,182650.7,
150.587,2352989,182662.3,
150.867,2352769,182673.8,
151.146,2352745,182685.2,
151.431,2352745,182696.5,
151.708,2352745,182707.7,
151.986,2352745,182718.8,
152.269,2352465,182729.9,
152.549,2352465,182741.0,
152.829,2352465,182752.0,
153.117,2352465,182763.0,
153.389,2353534,182774.0,
153.669,2359708,182784.9,
153.950,2359708,182795.8,
154.225,2359708,182806.6,
154.516,2359207,182817.3,
154.795,2357757,182828.0,
155.070,2357223,182838.6,
