sec,TRW-S,lowerBound,
181.133,186638,146735.6,
181.629,186638,146747.5,
182.147,186638,146759.3,
182.639,186638,146771.1,
183.148,186638,146782.9,
183.632,186600,146794.5,
184.144,186600,146806.2,
184.654,186600,146817.8,
185.134,186670,146829.3,
185.643,186856,146840.8,
186.128,186639,146852.2,
186.610,185168,146863.5,
187.110,185200,146874.8,
187.623,185037,146886.0,
188.101,184890,146897.1,
188.594,184877,146908.1,
189.107,184878,146919.0,
189.614,184885,146929.9,
190.101,184882,146940.7,
190.600,184623,146951.4,
191.120,184584,146962.0,
191.623,186181,146972.4,
192.129,186205,146982.7,
192.633,186175,146992.9,
193.124,186160,147002.9,
193.645,186160,147013.0,
194.145,186160,147022.8,
194.663,186160,147032.6,
195.171,184639,147042.3,
195.700,184639,147052.0,
196.223,184608,147061.5,
196.731,184323,147071.0,
197.223,184323,147080.3,
197.735,184333,147089.5,
198.234,184321,147098.7,
198.748,184321,147107.8,
199.253,184321,147116.8,
199.758,184620,147125.8,
200.249,184570,147134.8,
200.766,184445,147143.7,
201.257,184395,147152.5,
201.769,184395,147161.3,
202.265,184247,147170.1,
202.758,184374,147178.9,
203.268,184374,147187.5,
203.769,184216,147196.2,
204.289,184221,147204.8,
204.794,181443,147213.3,
205.304,181443,147221.8,
205.815,181444,147230.3,
206.324,181445,147238.7,
206.834,181817,147247.1,
207.337,181817,147255.4,
207.840,181826,147263.7,
208.352,182342,147271.9,
208.866,182342,147280.1,
209.374,182329,147288.2,
209.857,182329,147296.3,
210.365,182329,147304.3,
210.874,182329,147312.3,
211.377,182329,147320.3,
211.889,182329,147328.2,
212.386,182330,147336.1,
212.888,182330,147343.9,
213.402,182330,147351.8,
213.915,183491,147359.5,
214.431,183491,147367.3,
214.933,183482,147375.0,
215.426,183476,147382.7,
215.943,183614,147390.3,
216.456,183614,147397.9,
216.977,183614,147405.5,
217.479,183614,147413.0,
217.989,183663,147420.6,
218.481,183675,147428.1,
218.986,183675,147435.6,
219.494,183643,147443.1,
219.998,183416,147450.6,
220.497,183416,147458.1,
221.000,183416,147465.5,
221.497,183416,147472.9,
222.001,183415,147480.3,
222.515,183415,147487.6,
223.010,182919,147494.9,
223.510,182919,147502.2,
224.019,182906,147509.4,
224.523,182909,147516.6,
225.040,182943,147523.8,
225.541,182917,147530.9,
226.048,182917,147538.0,
226.541,182917,147545.1,
227.071,182917,147552.1,
227.588,182957,147559.1,
228.101,182999,147566.1,
228.614,182999,147573.1,
229.115,182840,147580.0,
229.613,182840,147586.9,
230.107,182709,147593.8,
230.620,182709,147600.7,
231.126,182739,147607.5,
231.666,182739,147614.3,
232.177,182739,147621.0,
232.743,182739,147627.8,
233.289,181241,147634.5,
233.813,181245,147641.1,
234.315,180611,147647.8,
234.843,180611,147654.4,
235.366,180611,147661.1,
235.889,180743,147667.7,
236.442,180743,147674.2,
236.946,180843,147680.8,
237.436,180843,147687.3,
237.957,180897,147693.8,
238.472,179229,147700.2,
238.986,179229,147706.6,
239.494,179209,147713.0,
240.047,178218,147719.3,
240.572,178218,147725.6,
241.070,178218,147731.8,
241.585,178218,147738.1,
242.111,178218,147744.3,
242.628,178233,147750.5,
243.128,178233,147756.6,
243.619,178233,147762.8,
244.134,178195,147768.9,
244.648,178273,147775.0,
245.158,178273,147781.0,
245.664,178280,147787.0,
246.192,178788,147793.0,
246.706,178788,147798.9,
247.287,178734,147804.9,
247.816,178734,147810.8,
248.305,178734,147816.6,
248.837,177378,147822.5,
249.376,177366,147828.3,
249.925,177366,147834.1,
250.445,175521,147839.8,
250.949,170782,147845.6,
251.483,170782,147851.3,
252.046,170794,147857.0,
252.586,170794,147862.6,
253.088,170794,147868.2,
253.609,170794,147873.8,
254.191,170794,147879.4,
254.722,170809,147884.9,
255.252,170809,147890.5,
255.804,170806,147896.0,
256.360,170806,147901.5,
256.895,170806,147906.9,
257.454,170648,147912.4,
257.990,170648,147917.8,
258.511,170528,147923.2,
259.029,170528,147928.6,
259.530,170503,147934.0,
260.039,170503,147939.3,
260.547,170503,147944.6,
261.066,170357,147949.8,
261.590,170357,147955.0,
262.096,170357,147960.2,
262.595,170585,147965.4,
263.109,170585,147970.6,
263.611,170585,147975.7,
264.157,170595,147980.9,
264.702,170597,147986.0,
265.214,170597,147991.1,
265.724,170597,147996.2,
266.274,170647,148001.3,
