sec,Dual Decomposition,
440.169,-1146393724,
441.432,-1187293724,
442.508,-1218193724,
443.503,-1239993724,
444.515,-1194193724,
445.529,-1127393724,
446.490,-1185593724,
447.500,-1219393724,
448.491,-1246693724,
449.490,-1267593724,
450.547,-1244693724,
451.499,-1254293724,
452.514,-1216493724,
453.592,-1200593724,
454.587,-1234693724,
455.618,-1224993724,
456.618,-1225293724,
457.595,-1181793724,
458.572,-1173393724,
459.545,-1192093724,
460.544,-1188093724,
461.543,-1255693724,
462.536,-1265293724,
463.537,-1198193724,
464.533,-1147693724,
465.505,-1150593724,
466.482,-1167693724,
467.423,-1136093724,
468.435,-1170793724,
469.403,-1177593724,
470.413,-1233993724,
471.419,-1235893724,
472.382,-1208793724,
473.387,-1273093724,
474.357,-1299393724,
475.337,-1279393724,
476.301,-1230493724,
477.286,-1229293724,
478.263,-1276793724,
479.238,-1273393724,
480.233,-1261093724,
481.217,-1262393724,
482.284,-1270593724,
483.314,-1219593724,
484.287,-1186793724,
485.239,-1126493724,
486.184,-1161393724,
487.164,-1158393724,
488.142,-1182193724,
489.144,-1163093724,
490.139,-1147093724,
491.173,-1120793724,
492.221,-1122393724,
493.353,-1121393724,
494.544,-1088193724,
