./binary data/sponge.txt sponge 
******* Running ICM for up to 500 x 5 iterations
writing runtimes to sponge-ICM.csv
Energy = 221428658 (Ed=221428658, Es=0) at start (0.001 secs init)
Energy = 35759864 (Ed=35110330, Es=649534), 0.089 secs
Energy = 35207567 (Ed=34610065, Es=597502), 0.177 secs
Energy = 34917154 (Ed=34338243, Es=578911), 0.268 secs
Energy = 34822365 (Ed=34252857, Es=569508), 0.359 secs
Energy = 34808219 (Ed=34241252, Es=566967), 0.451 secs
Energy = 34808219 (Ed=34241252, Es=566967), 0.541 secs
******* Running Expansion for up to 500 x 1 iterations
writing runtimes to sponge-Expansion.csv
Energy = 221428658 (Ed=221428658, Es=0) at start (0.001 secs init)
Energy = 31727165 (Ed=31471232, Es=255933), 0.155 secs
Energy = 31727165 (Ed=31471232, Es=255933), 0.286 secs
******* Running Swap for up to 500 x 1 iterations
writing runtimes to sponge-Swap.csv
Energy = 221428658 (Ed=221428658, Es=0) at start (0.001 secs init)
Energy = 31727165 (Ed=31471152, Es=256013), 0.168 secs
Energy = 31727165 (Ed=31471152, Es=256013), 0.331 secs
******* Running TRW-S for up to 500 x 1 iterations
writing runtimes to sponge-TRW-S.csv
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 1.688 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 1.704 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 1.721 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 1.737 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 1.754 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 1.770 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 1.786 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 1.803 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 1.820 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 1.836 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 1.854 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 1.870 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 1.888 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 1.904 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 1.921 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 1.938 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 1.956 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 1.974 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 1.991 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 2.009 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 2.027 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 2.044 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 2.062 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 2.079 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 2.097 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 2.114 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 2.132 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 2.149 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 2.166 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 2.183 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 2.200 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 2.218 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 2.235 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 2.252 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 2.269 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 2.286 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 2.304 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 2.320 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 2.338 secs
Energy = 31727165 (Ed=31471232, Es=255933), lower bound = 0.0, 2.356 secs
