./binary data/person.txt person 
******* Running ICM for up to 500 x 5 iterations
writing runtimes to person-ICM.csv
Energy = 30805943 (Ed=30158515, Es=647428), lower bound = 0.0, 1.375 secs
Energy = 30805943 (Ed=30158515, Es=647428), lower bound = 0.0, 1.391 secs
Energy = 30805943 (Ed=30158515, Es=647428), lower bound = 0.0, 1.408 secs
Energy = 30805943 (Ed=30158515, Es=647428), lower bound = 0.0, 1.424 secs
Energy = 30805943 (Ed=30158515, Es=647428), lower bound = 0.0, 1.441 secs
Energy = 30805943 (Ed=30158515, Es=647428), lower bound = 0.0, 1.457 secs
Energy = 30805943 (Ed=30158515, Es=647428), lower bound = 0.0, 1.473 secs
Energy = 30805943 (Ed=30158515, Es=647428), lower bound = 0.0, 1.488 secs
Energy = 30805943 (Ed=30158515, Es=647428), lower bound = 0.0, 1.502 secs
Energy = 30805943 (Ed=30158515, Es=647428), lower bound = 0.0, 1.516 secs
Energy = 30805943 (Ed=30158515, Es=647428), lower bound = 0.0, 1.529 secs
Energy = 30805943 (Ed=30158515, Es=647428), lower bound = 0.0, 1.545 secs
Energy = 30805943 (Ed=30158515, Es=647428), lower bound = 0.0, 1.559 secs
Energy = 30805943 (Ed=30158515, Es=647428), lower bound = 0.0, 1.574 secs
Energy = 30805943 (Ed=30158515, Es=647428), lower bound = 0.0, 1.587 secs
Energy = 30805943 (Ed=30158515, Es=647428), lower bound = 0.0, 1.599 secs
Energy = 30805943 (Ed=30158515, Es=647428), lower bound = 0.0, 1.613 secs
Energy = 30805943 (Ed=30158515, Es=647428), lower bound = 0.0, 1.627 secs
Energy = 30805943 (Ed=30158515, Es=647428), lower bound = 0.0, 1.641 secs
Energy = 30805943 (Ed=30158515, Es=647428), lower bound = 0.0, 1.655 secs
Energy = 30805943 (Ed=30158515, Es=647428), lower bound = 0.0, 1.667 secs
Energy = 30805947 (Ed=30158383, Es=647564), lower bound = 0.0, 1.683 secs
Energy = 30805947 (Ed=30158383, Es=647564), lower bound = 0.0, 1.697 secs
Energy = 30805947 (Ed=30158383, Es=647564), lower bound = 0.0, 1.710 secs
Energy = 30805947 (Ed=30158383, Es=647564), lower bound = 0.0, 1.725 secs
Energy = 30805947 (Ed=30158383, Es=647564), lower bound = 0.0, 1.739 secs
Energy = 30805947 (Ed=30158383, Es=647564), lower bound = 0.0, 1.753 secs
Energy = 30805947 (Ed=30158383, Es=647564), lower bound = 0.0, 1.768 secs
Energy = 30805947 (Ed=30158383, Es=647564), lower bound = 0.0, 1.779 secs
Energy = 30805947 (Ed=30158383, Es=647564), lower bound = 0.0, 1.795 secs
Energy = 30805947 (Ed=30158383, Es=647564), lower bound = 0.0, 1.806 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 1.818 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 1.831 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 1.845 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 1.858 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 1.868 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 1.878 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 1.888 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 1.899 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 1.910 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 1.922 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 1.934 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 1.948 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 1.962 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 1.976 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 1.990 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.004 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.017 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.029 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.043 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.058 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.070 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.083 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.093 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.104 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.115 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.129 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.144 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.158 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.172 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.186 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.201 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.213 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.229 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.244 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.259 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.272 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.286 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.299 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.312 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.325 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.339 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.354 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.368 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.382 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.396 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.406 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.418 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.429 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.442 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.456 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.469 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.481 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.494 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.505 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.516 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.528 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.541 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.555 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.568 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.581 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.595 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.608 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.622 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.635 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.650 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.666 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.679 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.693 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.708 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.724 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.739 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.752 secs
Energy = 30804852 (Ed=30157043, Es=647809), lower bound = 0.0, 2.768 secs
